Epoch,Error
0,293.92084116662784
1,266.2160605440951
2,143.0677856488542
3,149.5912899520891
4,158.91051256925692
5,136.7460352604301
6,137.50812905163934
7,138.99920846055187
8,141.091592663437
9,138.99111061294445
10,139.92071009786238
11,142.29835289531604
12,139.2991920142063
13,139.35915474993476
14,137.79348678914113
15,138.8979253264247
16,140.18459048050923
17,138.77345627237943
18,138.0300203019932
19,137.3639001496996
20,138.61259294778606
21,138.57765927117347
22,138.5925074418891
23,137.8370485912927
24,138.10136764507806
25,137.36949733438558
26,140.17371569555507
27,138.52779547847686
28,140.3329305291325
29,135.79236211092635
30,136.55037856562768
31,139.57208192794735
32,136.66355503629
33,136.2051911753963
34,137.50185642555348
35,137.1157561919199
36,139.03597104600468
37,136.92259689706754
38,137.33628357990816
39,136.77468347658237
40,136.83388936397728
41,136.65715522930293
42,136.1376454984734
43,135.9864524538691
44,135.78324893683518
45,135.67032867654402
46,136.12941778219925
47,136.7103847695666
48,135.50981837422097
49,135.22861952970945
50,136.27821668186658
51,135.97139548063424
52,133.9070473666503
53,133.9754538484321
54,135.01273656406335
55,136.7883364438176
56,134.27469607634688
57,133.37193263237978
58,134.24025984086393
59,133.5241124314473
60,134.285921981325
61,134.02611468399903
62,134.2516884860435
63,132.97370037417937
64,132.8525369105159
65,133.69357164725895
66,134.86721705786871
67,133.6685172606841
68,133.41379496765234
69,132.1513995857294
70,132.53728676341066
71,132.66070999940936
72,134.65541850118657
73,133.76088366620604
74,134.22760044022704
75,131.90465529103764
76,131.3688614858581
77,131.17761998208644
78,131.09047102713618
79,131.29059702699686
80,132.47216527213067
81,133.5427601957507
82,137.02343054004726
83,131.90930858092707
84,131.46173891450152
85,131.448632670253
86,132.48086217522737
87,131.92931759248998
88,133.43230178945092
89,132.2400173335985
90,132.87232945432532
91,131.49248888534078
92,132.1034159649032
93,131.4800486574037
94,132.52812549387008
95,131.633612370093
96,132.72417092444326
97,131.4015860058695
98,132.4693066562722
99,131.08834179087637
100,132.37404383463164
101,131.31976521356685
102,133.0748187224744
103,131.5022704155441
104,132.15221254153275
105,131.75635150366773
106,132.34403661069837
107,131.16131648616923
108,131.28955878263028
109,130.81115041858814
110,131.26806936936822
111,131.05248090855784
112,131.72970383555466
113,131.30687465967603
114,131.60448313824614
115,130.89373134391
116,131.05908166487583
117,130.58750799455652
118,131.1930010553789
119,130.67250530897994
120,131.91591727471686
121,130.37663708857337
122,131.6544335009358
123,130.71409092601778
124,132.942694907726
125,131.52473784828751
126,132.2146878717288
127,130.55714212670725
128,130.99807853726867
129,130.6338165998207
130,131.5498733382983
131,130.8307285841402
132,131.24313977513543
133,130.672554929294
134,130.67792802468745
135,130.9980847807118
136,131.40512121231856
137,133.38175338261897
138,130.12505967886526
139,130.11977940116708
140,129.7197089407026
141,131.066627844589
142,129.76440773177737
143,131.492060274561
144,129.35909973562448
145,130.48798269998645
146,129.44891226031487
147,131.02874596561279
148,129.31859708297665
149,130.38520626212642
150,129.27784909718875
151,130.37060279162196
152,129.19527255378205
153,130.22120285901457
154,129.12566404683295
155,130.18499713279144
156,129.12299311905437
157,130.22176197614252
158,129.354806417302
159,130.5028485990028
160,130.4388962410389
161,131.40616268600843
162,130.81455725682372
163,130.17147029125547
164,129.35127839065598
165,129.4547708505588
166,129.50510447423358
167,129.69005566014442
168,130.09912334193098
169,129.93959777907733
170,129.9698830075901
171,130.43562850529426
172,129.44129436579357
173,129.87706120082936
174,128.97880888958179
175,129.5249158909862
176,129.0118575274283
177,129.6725873678069
178,129.305830910222
179,129.48435343855454
180,129.20651360789296
181,129.07236388551715
182,129.05521785630475
