Epoch,Error
0,297.4222152113919
1,264.22940816180966
2,139.01871877875243
3,143.6582597717145
4,243.57513923954545
5,152.51846636492047
6,143.87208712038938
7,141.0038203323033
8,138.76790972170605
9,150.7916738649834
10,139.30956470028374
11,141.7598207869854
12,144.1270363387098
13,139.4156129985748
14,139.62758089255254
15,141.53051177457075
16,145.5682089111909
17,146.88412452790848
18,146.3718339768059
19,143.1238270793532
20,141.461362487618
21,149.1370336087724
22,143.81732689510702
23,140.01836871811926
24,149.01200129625147
25,140.80045271426258
26,140.64436895293267
27,142.89724908249102
28,144.427840039885
29,139.9058328937027
30,138.84035750881682
31,141.24040723903877
32,139.0058413165759
33,140.42619591480505
34,140.74639956808252
35,142.71913939789601
36,138.56817780009297
37,139.99276231768587
38,139.14120180003204
39,137.81773417934224
40,138.10926641488794
41,136.78153586957393
42,136.6762382751771
43,136.52034671123556
44,138.0712912072589
45,138.21503530557953
46,137.5813171777531
47,136.5733929467849
48,136.48483210830761
49,135.41670500799015
50,135.18491646361272
51,136.70577713775825
52,135.8945891604028
53,137.54726603796834
54,137.48671979862957
55,138.00142478533664
56,136.1104540492638
57,135.04468357977416
58,135.65420523011377
59,137.4423940299331
60,135.6579714850167
61,135.99163844177076
62,135.66891311824168
63,136.12849510688838
64,135.0856161305657
65,136.357245384053
66,134.70982179094057
67,136.6760218637941
68,136.18105373166836
69,135.9777172314552
70,135.5452577106248
71,135.35709163980738
72,135.55662529260073
73,136.61196259989018
74,135.7741591155209
75,135.68192121040587
76,136.17390023777028
77,135.34834452480808
78,135.14530325731113
79,135.44369124006263
80,134.5921402459339
81,134.3673868329498
82,134.31355324680672
83,134.7341187384683
84,135.0477443609227
85,138.00800647554493
86,135.4469823560515
87,135.66407716570498
88,136.2373333277743
89,135.61803194066758
90,136.19957935354324
91,134.00979906580466
92,133.05453911957036
93,133.0629362916993
94,134.09871091919706
95,139.64193819472996
96,136.5142448582608
97,135.08358259182262
98,133.91574779653862
99,134.25662291810858
100,133.49935185686104
101,135.18460581550121
102,135.23971965351868
103,132.87048057635377
104,132.8706564879558
105,133.07459357995123
106,133.65607175160676
107,134.97650381805516
108,137.71352347534562
109,137.8056891199455
110,136.36208733287356
111,135.27747032554413
112,134.57926639483665
113,134.07200298204336
114,132.83891628758414
115,133.76155514440103
116,137.01418961258392
117,135.21997154672815
118,134.64127842608283
119,132.8707813634505
120,132.9799639282169
121,134.0184183558631
122,136.48489692536273
123,134.8026236667831
124,134.73236240937976
125,135.2517346673769
126,133.53560810704658
127,134.62168166922095
128,133.52764547790827
129,135.16380375694595
130,133.2097108584331
131,132.79476247042933
132,133.18766527484277
133,133.4764555057514
134,133.048364439885
135,134.07911533705965
136,134.90305863102708
137,134.21079229790504
138,133.73448413401746
139,133.17322014408774
140,132.735153128053
141,132.6969781216395
142,134.0002169340763
143,133.06036201837344
144,133.40575283986436
145,133.77818885517698
146,133.82008568321882
147,133.17909671477543
148,132.53342569953224
149,131.8657546579175
150,132.7503528380479
151,133.73577888426053
152,134.01789964734635
153,135.6473034065177
154,132.42317376497542
155,133.0930707825985
156,132.47749373623554
157,132.16848699698286
158,132.4969962494582
159,134.34397025291275
160,131.9622059105037
161,132.68365051317895
162,133.43873195540655
163,133.98458667432874
164,131.31033574254306
165,131.903313643159
166,132.42063204377257
167,131.95492582244043
168,132.48632040197606
169,131.66102285791663
170,132.47558030564662
171,131.66556544658846
172,132.30284669667734
173,131.6532331716002
174,131.71808758535857
175,132.87117762792423
176,133.06092747660432
177,132.07419963041278
