Epoch,Error
0,270.74476012584546
1,269.27636079309076
2,267.856342434901
3,266.15277106322867
4,263.8469627130258
5,260.5980084343752
6,256.061962140845
7,249.9977705612042
8,242.47723234152943
9,234.09201783906144
10,225.86697581813422
11,218.75442062834918
12,213.17046286977813
13,209.02089836133388
14,205.99720941762354
15,203.78947091707647
16,202.15739339099375
17,200.93131770412296
18,199.994960070997
19,199.26873670209602
20,198.69757700422642
21,198.24275726423784
22,197.87657007516728
23,197.57884870644332
24,197.33467774722965
25,197.1328621512697
26,196.9648859976919
27,196.82419214458648
28,196.7056756497148
29,196.6053220080598
30,196.5199451081911
31,196.446994919794
32,196.3844146479212
33,196.3305334479715
34,196.28398502022827
35,196.24364525308366
36,196.2085840349704
37,196.17802770838688
38,196.15132959010208
39,196.12794665726213
40,196.10742098450834
41,196.0893648694223
42,196.07344884163615
43,196.05939194159905
44,196.04695379706845
45,196.03592813208286
46,196.02613742389346
47,196.0174284848336
48,196.0096687932644
49,196.00274343415794
50,195.996552538132
51,195.99100912986012
52,195.98603731410492
53,195.98157074133232
54,195.97755130573097
55,195.97392803713132
56,195.97065615526583
57,195.9676962604034
58,195.9650136389102
59,195.96257766596074
60,195.9603612906077
61,195.9583405908745
62,195.9564943885287
63,195.95480391486848
64,195.95325252020163
65,195.95182542085323
66,195.95050947846127
67,195.94929300712883
68,195.94816560464463
69,195.94711800454962
70,195.9461419462859
71,195.94523006106172
72,195.94437577140584
73,195.94357320264973
74,195.94281710483585
75,195.9421027837464
76,195.9414260399158
77,195.9407831146551
78,195.9401706422304
79,195.9395856074558
80,195.9390253080565
81,195.93848732123078
82,195.93796947393105
83,195.9374698164126
84,195.93698659869193
85,195.93651824956592
86,195.9360633579092
87,195.935620655988
88,195.9351890045658
89,195.9347673795988
90,195.9343548603501
91,195.9339506187572
92,195.93355390992656
93,195.93316406362172
94,195.93278047664504
95,195.93240260601283
96,195.93202996283958
97,195.93166210685672
98,195.9312986414938
99,195.93093920947186
100,195.93058348884284
101,195.93023118943853
102,195.92988204968069
103,195.92953583371616
104,195.92919232884302
105,195.92885134319653
106,195.92851270367296
107,195.92817625405797
108,195.92784185334676
109,195.92750937423324
110,195.92717870174872
111,195.92684973203964
112,195.92652237126552
113,195.9261965346092
114,195.92587214538312
115,195.92554913422708
116,195.92522743838487
117,195.9249070010536
118,195.9245877707944
119,195.9242697010081
120,195.92395274945514
121,195.92363687782958
122,195.92332205137043
123,195.92300823851514
124,195.92269541058488
125,195.922383541501
126,195.92207260753077
127,195.92176258705828
128,195.92145346037512
129,195.92114520949565
130,195.92083781798718
131,195.92053127081894
132,195.9202255542243
133,195.919920655578
134,195.9196165632847
135,195.919313266678
136,195.91901075593069
137,195.91870902197243
138,195.91840805641647
139,195.91810785149258
140,195.91780839998864
141,195.91750969519447
142,195.917211730855
143,195.91691450112464
144,195.91661800053012
145,195.91632222393065
146,195.91602716649024
147,195.91573282364527
148,195.91543919108
149,195.91514626470226
150,195.9148540406215
151,195.91456251513085
152,195.91427168468937
153,195.91398154590507
154,195.9136920955222
155,195.91340333040887
156,195.91311524754374
157,195.91282784400707
158,195.91254111697097
159,195.91225506369148
160,195.91196968149924
161,195.9116849677949
162,195.91140092004207
163,195.91111753576038
164,195.91083481252275
165,195.91055274794908
166,195.91027133970314
167,195.9099905854882
168,195.90971048304453
169,195.90943103014516
170,195.90915222459483
171,195.90887406422598
172,195.90859654689757
173,195.90831967049226
