Epoch,Error
0,281.08273953262
1,237.56202496387448
2,132.6990322888382
3,143.41312224614853
4,170.8752364391203
5,153.92693939790615
6,151.41887843978628
7,137.78005529066598
8,139.33944735404575
9,141.55826242620603
10,138.00792470528657
11,140.5937666416955
12,141.29905780606438
13,142.19681997682036
14,140.7092132933097
15,143.79252613370494
16,137.57646506167373
17,143.8649715965966
18,141.89807731483592
19,133.92674168599214
20,137.22657365298105
21,140.83545610354864
22,141.8981855521902
23,136.2872410231195
24,135.18614506305474
25,134.14087303619547
26,134.89958044539003
27,138.13852751345485
28,132.1982646591736
29,134.65154679751535
30,139.54648145519894
31,136.38457923984149
32,133.75794636447054
33,139.56949808646547
34,132.00039583092564
35,132.04770247753208
36,134.4837275458902
37,131.81289655646827
38,132.1348786775599
39,137.07725628020827
40,134.74833256538244
41,134.07651253988743
42,136.2029326327428
43,132.04563650967535
44,130.1275944570943
45,131.6399896419854
46,134.2233556810512
47,130.2761837151623
48,129.86346352880312
49,130.6169163773683
50,129.2212383179113
51,129.4259443583178
52,129.7767010554431
53,131.39622984191692
54,130.03359458617956
55,132.14247099868786
56,134.09315429395397
57,131.96552037903598
58,130.65051949858372
59,131.817146754517
60,132.14923268995858
61,131.93152044398542
62,130.8392234873237
63,131.30577429929772
64,131.8884361020133
65,131.4954115616095
66,131.0488702483161
67,131.18942989935516
68,131.1229143329263
69,131.03279374182296
70,130.74258607031783
71,130.74513858550048
72,130.48200628703222
73,130.46628712686586
74,130.26660501802357
75,130.17665453485836
76,130.11831871305682
77,129.90490749953332
78,129.96627587088724
79,129.65875982784243
80,129.8048665995576
81,129.45704392157532
82,129.6408635393968
83,129.2891491191701
84,129.4783222454029
85,129.14118665392357
86,129.3209746221232
87,129.00736955636205
88,129.17435980105023
89,128.887055032465
90,129.04329854512432
91,128.7805354646716
92,128.93004439372058
93,128.68743290244126
94,128.834481346386
95,128.6066968860094
96,128.7551570032621
97,128.53700228476453
98,128.69017616282994
99,128.47706000088135
100,128.63771111035643
101,128.42577825813973
102,128.59622217255804
103,128.38233877580922
104,128.56453210539465
105,128.3462529438119
106,128.54185656171043
107,128.3174378311315
108,128.52785031273055
109,128.2963367243584
110,128.5227108048789
111,128.28411160341142
112,128.52738940200973
113,128.28294970956784
114,128.54398601852546
115,128.29651749730718
116,128.5763847273313
117,128.33039271231257
118,128.63082416784906
119,128.3912332475271
120,128.71424535557378
121,128.4798109909132
122,128.82290787578424
123,128.56877497901024
124,128.91280017493116
125,128.58124929335864
126,128.88799699265917
127,128.45316282806007
128,128.69059765179492
129,128.23570096271456
130,128.39936573971787
131,128.0302616531622
132,128.14421043662867
133,127.88668545335187
134,127.98668188774226
135,127.81405466804182
136,127.93849294854977
137,127.81361536288341
138,128.00906211869633
139,127.88695819578363
140,128.20834100066327
141,128.03017748135534
142,128.50289501332833
143,128.22056853518532
144,128.76281118607685
145,128.38772350187563
146,128.84798030757102
147,128.43594119385293
148,128.768734418348
149,128.35039975621987
150,128.6203703530597
151,128.20691016450598
152,128.4878095114571
153,128.0885557130827
154,128.4285754340553
155,128.0519698499028
156,128.48821173776258
157,128.15667960322986
158,128.73716559332806
159,128.52295488845107
160,129.31398744336028
161,129.3366043846498
162,130.16195857863215
163,129.95338356381615
164,130.2983040409285
165,128.9926568664094
166,129.3722420065906
167,127.9895005450106
168,128.1040224516653
169,127.38630564652574
170,127.36383538376626
171,127.07542236471211
172,127.08393736454073
173,126.99918090393517
174,127.15961651235318
175,127.190274436304
176,127.65340843234215
177,127.56265577607067
178,128.3760502199519
179,128.0176454656988
180,129.14679937663917
181,128.7691055606512
182,129.9086293567662
183,129.27646636062758
184,129.8869376884872
185,128.6775199813479
186,128.99090670819479
187,127.83993450727678
188,128.01090848628104
189,127.27749587195625
190,127.37971907373188
191,127.01180943891835
192,127.20800424980503
193,127.07037663915254
194,127.5380959449669
195,127.40843289277026
196,128.17930466514733
197,127.75466729447076
198,128.66601266816994
199,127.97682227203116
200,128.87518588419627
201,128.0339510383016
202,128.74952548797594
203,127.83488802372564
204,128.27719038370253
205,127.42670082099754
206,127.67916046688418
207,127.05286238233786
208,127.3294635041101
209,126.9448709681583
210,127.49625743086959
211,127.12780386661963
212,127.99026376376847
213,127.24946245383391
214,128.1361721431584
215,127.22503283557369
216,128.0757052278871
217,127.25574577184594
218,128.2043385159984
